"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,14,EA,299,FRP8,0.6087,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,14,EA,299,FRP6,0.00584,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,26,EA,299,FRP6,0.01082,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,44,EA,299,FRP8,1.91304,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,4,EA,299,FRP3,0.09524,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,44.913,M,140,CUTP,0.6,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,4,EA,599,FRP3,0.004,,000,181,181,,,
,080817JR0642,"8ft V-Bridge, no extra ropes, no big rope, no spreader bars",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,26,EA,299,FRP7,1.13044,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,18,EA,299,FRP3,0.42858,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,72,EA,299,FRP8,3.13043,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,16,EA,299,FRP3,0.06666,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,16,EA,299,FRP3,0.38096,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,16,EA,599,ASY,0.016,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,48.1158,M,140,CUTP,0.51667,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,71.7282,M,140,CUTP,0.58334,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",LEN58SS,24,EA,599,ASY,0.024,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,18,EA,299,FRP3,0.42858,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,108,EA,299,FRP8,4.69565,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,24,EA,299,FRP3,0.1,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,24,EA,299,FRP3,0.57142,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,4,EA,599,FRP3,0.004,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,14,EA,299,FRP7,0.6087,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,24.317,M,140,CUTP,0.38333,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,4,EA,299,FRP3,0.09524,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,14,EA,299,FRP8,0.6087,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,14,EA,299,FRP6,0.00584,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,26,EA,299,FRP6,0.01082,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,44,EA,299,FRP8,1.91304,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,4,EA,299,FRP3,0.09524,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,44.913,M,140,CUTP,0.6,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,4,EA,599,FRP3,0.004,,000,181,181,,,
,080817JR0642,"12ft V-Bridge, no big rope, no spreader bars, no extra ropes",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 15/32 SS Shackle w/ Nylon Thimbled Loop Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,26,EA,299,FRP7,1.13044,,000,181,181,,,
